Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
143636.3957,25295.87097,130910.5337,86344.70826,1166136.258,118338.0837,118091.3364,332118.1485,445284.4384,226279.7587,44220.14871,40779.65449,394181.3688,194612.2606,100788.478,104966.8748,131590.9027,149718.1507,48278.32488,271092.4332,210623.5775,362631.0062,154977.4146,93887.85961,230408.623,33738.50746,60159.92994,47393.62152,44254.83166,593172.5974,58013.3165,616581.2142,231379.5082,28305.01509,374399.3068,113292.9861,103011.3736,409473.0909,40668.28256,124857.9694,30244.41232,171999.7242,582544.291,65057.75214,25726.94984,216418.749,171643.9782,67452.2317,172494.1681,22025.74021
138925.7182,24466.27142,126617.2117,83512.9603,1127891.83,114457.0858,114218.4308,321226.0521,430680.9575,218858.722,42769.91142,39442.25113,381253.8564,188229.7864,97483.03434,101524.3971,127275.2674,144808.0169,46694.99626,262201.7269,203715.9986,350738.2147,149894.7988,90808.7276,222852.1767,32632.02448,58186.934,45839.3075,42803.45691,573718.9989,56110.72057,596359.9102,223791.2209,27376.72811,362120.5639,109577.4465,99633.02818,396044.0735,39334.53174,120763.1464,29252.52116,166358.8474,563439.2568,62924.12797,24883.2127,209321.1125,166014.7683,65240.07854,166837.0756,21303.38737
134514.2483,23689.36544,122596.5881,80861.07611,1092076.569,110822.5968,110591.5201,311025.7875,417005.044,211909.0464,41411.78866,38189.79544,369147.4591,182252.707,94387.54214,98300.5748,123233.7477,140209.7595,45212.23571,253875.7304,197247.1675,339600.8161,145135.0149,87925.17243,215775.6923,31595.82185,56339.25659,44383.71863,41444.26894,555501.032,54328.97158,577423.0002,216684.9179,26507.40301,350621.7284,106097.9063,96469.26472,383468.0252,38085.49659,116928.4137,28323.63182,161076.2613,545547.7145,60926.02493,24093.06709,202674.2957,160743.1082,63168.43442,161539.3038,20626.91613
130374.3529,22960.28659,118823.4782,78372.44463,1058466.131,107411.8507,107187.8857,301453.4617,404171.0337,205387.1999,40137.27333,37014.44221,357786.3441,176643.5827,91482.6116,95275.2143,119441.0282,135894.5755,43820.75543,246062.2908,191176.5642,329149.0472,140668.2481,85219.13186,209134.8435,30623.4089,54605.32409,43017.73731,40168.75398,538404.5818,52656.90888,559651.8657,210016.0862,25691.59445,339830.7729,102832.5703,93500.26578,371666.1714,36913.35332,113329.7511,27451.92586,156118.8767,528757.594,59050.92715,23351.56366,196436.6637,155795.9769,61224.32283,156567.6683,19992.08914
126481.7007,22274.74983,115275.7062,76032.43937,1026862.979,104204.8014,103987.5234,292452.815,392103.4971,199254.8516,38938.8747,35909.2835,347103.7384,171369.447,88751.16954,92430.5346,115874.8177,131837.1032,42512.37723,238715.4859,185468.51,319321.4795,136468.2459,82674.70164,202890.5999,29709.07048,52974.94563,41733.33523,38969.41541,522329.1671,51084.70523,542942.0602,203745.531,24924.50767,329684.2756,99762.2468,90708.5816,360569.1487,35811.21288,109946.008,26632.27999,151457.5574,512970.2142,57287.8141,22654.34435,190571.556,151144.2986,59396.31762,151892.9491,19395.17535
122814.7827,21628.96724,111933.6689,73828.13065,997092.4882,101183.7283,100972.7496,283974.1144,380735.7551,193478.1172,37809.97101,34868.21278,337040.6152,166401.1575,86178.12336,89750.81743,112515.4112,128014.9231,41279.87167,231794.7212,180091.4649,310063.811,132511.8012,80277.82252,197008.459,28847.75439,51439.11256,40523.41541,37839.6263,507185.9631,49603.67342,527201.2536,197838.6042,24201.90414,320126.1721,96869.97092,88078.78675,350115.6406,34772.98538,106758.4877,25860.16525,147066.5472,498098.342,55626.9437,21997.55668,185046.565,146762.3703,57674.31814,147489.3162,18832.87648
119354.515,21019.57792,108779.9732,71748.04638,968999.7223,98332.90873,98127.8743,275973.2334,370008.6454,188026.9324,36744.68702,33885.81189,327544.6023,161712.8575,83750.08195,87222.11649,109345.325,124408.1431,40116.82432,225263.9781,175017.4448,301327.861,128778.323,78016.02022,191457.8079,28034.97802,49989.83181,39381.68098,36773.50678,492896.1588,48206.10558,512347.5248,192264.564,23520.02313,311106.7183,94140.69008,85597.19475,340251.243,33793.2675,103750.601,25131.56326,142922.9937,484064.5785,54059.67212,21377.78247,179832.9365,142627.3869,56049.36244,143333.8513,18302.26614
116083.9059,20443.58947,105799.1327,69781.97234,942446.7317,95638.34367,95438.9277,268410.8838,359869.4928,182874.5291,35737.79166,32957.25678,318569.0696,157281.5249,81455.12244,84832.01464,106348.9925,120999.052,39017.52405,219091.1876,170221.5336,293070.7319,125249.4783,75878.18819,186211.3901,27266.75024,48619.9867,38302.52546,35765.82168,479389.5842,46885.13899,498307.9346,186996.0391,22875.51629,302581.6243,91561.00219,83251.61977,330927.5169,32867.24834,100907.5778,24442.89623,139006.5499,470800.0111,52578.30332,20791.97832,174905.069,138719.0435,54513.4712,139406.1491,17800.73875
112987.7771,19898.32882,102977.3139,67920.78434,917310.289,93087.52815,92893.43089,261251.9701,350271.2433,177996.996,34784.6121,32078.23819,310072.3632,153086.595,79282.59432,82569.41983,103512.5082,117771.8291,37976.86921,213247.7029,165681.4746,285254.1037,121908.8902,73854.40513,181244.858,26539.50584,47323.22003,37280.94068,34811.89453,466603.5577,45634.64326,485017.3279,182008.5793,22265.39257,294511.3266,89118.93537,81031.17642,322101.1925,31990.6304,98216.22405,23790.96818,135299.0404,458243.0812,51175.96251,20237.42563,170240.0931,135019.2022,53059.51661,135687.9817,17325.96682
110052.528,19381.40076,100302.1213,66156.30655,893479.9748,90669.25696,90480.20206,254465.0447,341171.7337,173372.9071,33880.96124,31244.89477,302017.1589,149109.6401,77222.95414,80424.39297,100823.412,114712.2976,36990.2884,207707.8547,161377.324,277843.6397,118741.8842,71935.78098,176536.3947,25850.05019,46093.83537,36312.43903,33907.53491,454481.9131,44449.12523,472417.3217,177280.2756,21686.97182,286860.3741,86803.76214,78926.11076,313733.4976,31159.5629,95664.71722,23172.91532,131784.1789,446338.6289,49846.48951,19711.68836,165817.5167,131511.6105,51681.11176,132163.0161,16875.86478
